"Data Source","World Development Indicators",

"Last Updated Date","2025-10-07",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","405586592.178771","487709497.206704","596648044.692737","695530726.256983","764804469.273743","872067039.106145","958659217.877095","1083240223.46369","1245810055.86592","1320670391.06145","1379888268.15642","1531843575.41899","1665363128.49162","1722905027.93296","1873452513.96648","1896456983.24022","1961843575.41899","2044111731.84358","2254830726.25698","2360017318.43575","2469782681.56425","2677641340.78212","2843024581.00559","2553793296.08939","2453597206.70391","2637859217.87709","2615208379.88827","2727849720.67039","2790849720.67039","2962907262.56983","2983635195.53073","3092429050.27933","3276184357.5419","3395798882.68156","2481857122.8401","2929446578.25104","3279343543.60416","3648573136.15155","",
"Africa Eastern and Southern","AFE","GDP (current US$)","NY.GDP.MKTP.CD","24209933140.9893","24963256383.3821","27078015031.423","31774831212.1934","30284919141.1811","33812194393.0267","36933907896.9839","38451060071.1434","41749510602.9314","47056941587.2592","47602358397.427","52197888095.6768","56735886018.8697","73096340026.7834","89551627351.3306","95312337397.3043","96023171889.5594","109227611657.038","124105768857.168","142125443087.571","178504202321.607","185157804112.61","178399944240.917","185817205250.524","170095168125.952","149393853685.646","160633055116.323","190269043509.153","207464333652.835","220706095624.172","256504902942.114","277043404954.608","241297872903.172","240094759186.747","243571144844.344","273433173838.293","273530987732.975","288377676457.787","268833469565.376","265429291662.216","287201651521.163","260992228316.31","267815037639.861","355716369817.829","442696186423.428","516661066865.396","580240750535.502","665598701333.933","713502106251.46","715485349813.383","849409606774.9","945439030450.479","952998471719.373","962441293816.426","978743758351.278","898308853395.359","828961170566.435","973025126473.894","1012291194268.21","1009746517725.42","933407232177.078","1085604883589.65","1191638638185.25","1133818271029.39","1205973813871.44",
"Afghanistan","AFG","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3521418059.92345","2813571753.87253","3825701438.99963","4520946818.54581","5224896718.67782","6203256538.70967","6971758282.29351","9747886187.39393","10109297047.5432","12416152732.0567","15856668555.8336","17805098206.3141","19907329777.5872","20146416757.5987","20497128555.6972","19134221644.7325","18116572395.0772","18753456497.8159","18053222687.4126","18799444490.1128","19955929052.1496","14259995441.0759","14497243872.1337","17152234636.8715","",
"Africa Western and Central","AFW","GDP (current US$)","NY.GDP.MKTP.CD","11905107707.3341","12708033250.0511","13630920944.3637","14469258364.511","15803936677.0543","16921238011.6515","18034328957.9001","16493846012.266","17022944324.6226","19301601790.523","26697431082.3629","24497038201.0775","29489666871.2773","36891334761.3687","49688193509.1868","57280847676.038","68386320278.5055","71790695365.6203","78779099935.3317","96682239333.0411","120501079995.998","216911025160.232","195917937082.039","151222762742.658","131218159345.846","137802915726.013","109237001606.148","112294774135.922","111227154872.419","103934371472.964","123711320144.881","129941884295.923","124599331018.712","129732603621.549","134776833881.573","207176966730.608","262600874773.758","275742249999.581","296152427996.975","139468349993.665","142140075688.035","150058483260.659","179390065281.314","207754986323.249","258566656910.949","317096476047.265","402724221239.257","471537814858.507","575059454850.507","515474028936.376","606280114370.887","691187455140.185","748126849686.918","844202569830.553","903933677159.723","778022060796.81","700028171710.17","694051344215.045","777840407639.927","833288902800.025","797295175501.973","858114511231.434","893639944629.861","814728528754.188","670025655309.603",
"Angola","AGO","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","5930503400.96263","5550483035.96497","5550483035.96497","5784341596.36339","6131475065.17815","7554065410.121","7072536108.69711","8084412414.26566","8769836768.83482","10201780976.6696","11229515599.3048","10603784541.197","8307810973.58848","5768720421.61367","4438321017.39068","5538749259.94714","7526421519.16979","7648380195.59902","6506221615.78722","6152923310.44546","9129594970.15301","8936079117.73136","15285592370.374","17812704586.4397","23552057679.4994","36970900883.8109","52381025141.4268","65266415494.2584","88538665084.8634","70307196181.6539","83799474069.7315","111789747670.59","128052915766.343","132339109040.232","135966802586.713","90496420506.5957","52761617225.9253","73690154990.7312","79450688259.3664","70897962732.0277","48501561203.5686","66505129987.7235","104399746853.401","84875162197.0107","80396942241.6233",
"Albania","ALB","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","1578102105.26316","1808177156.17716","1861163170.16317","1881412587.41259","1857337995.338","1897050116.55012","2097326250","2080796250","2051236250","2253090000","2028553750","1099559027.77778","652174990.837304","1185315468.46295","1880950864.41311","2905092798.61916","3234486232.04392","2293666029.99318","2600356999.20614","3283941510.49964","3584570164.85195","4059064033.13379","4515003116.68036","5801712040.48463","7406645793.44038","8256658249.8128","9150528132.17633","11116937869.8568","13258506375.4518","12335540656.1006","12086545641.299","12973755874.5365","12246499747.9714","12796985886.1478","13296322588.1684","11470171826.9575","11988668784.6628","13258268435.6048","15379508329.7568","15585111614.0376","15241455556.3737","18032009220.4405","19017244116.7203","23547180412.3404","27177735527.5667",
"Andorra","AND","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","78617711.0965325","89406608.1458151","113414397.365635","150841639.297444","186557081.998137","220112572.205331","227283850.831271","253997897.226968","308020261.164149","411548748.354729","446377776.798001","388983266.199886","375914743.581006","327850042.515872","330073080.637098","346742714.675152","481996012.869071","611299924.540506","721425939.15155","795489582.04491","1028989692.06787","1106891361.53948","1209992020.29543","1007090269.86956","1017544068.8408","1178745282.8678","1224024139.21295","1180645571.8643","1211953994.05714","1240295103.07939","1432606188.69324","1548265808.05802","1764279824.29752","2366941808.94404","2900245324.49221","3161084091.11674","3459337986.88383","3957625367.21959","4102319399.02343","3688976340.7549","3449925738.86069","3629133574.27783","3188652765.36184","3193512950.02419","3271685596.66321","2789881258.50362","2896610479.73077","3000162081.11976","3218419896.9641","3155149347.80639","2891001149.3611","3324647529.381","3380612573.32922","3785067331.7625","4039844390.22543",
"Arab World","ARB","GDP (current US$)","NY.GDP.MKTP.CD","","19997084375.2129","20327670811.8221","22362957745.8378","24811627225.8981","26769289695.5947","28349126512.4807","30598797626.2834","34970677299.2183","38561008452.1483","43091222311.4035","49926770850.2002","59966658268.8852","79125367985.0426","152188729578.375","168158579114.656","209993347722.873","242270387243.755","265398240303.462","358111304353.087","486405826809.648","494916415270.109","463080469432.737","437471179625.543","440182151059.07","432868201224.098","405473196686.789","431257668997.916","429382834204.164","457369060542.725","641712235246.423","467952893083.326","467794315257.067","478927015196.003","499880123725.294","528480485482.616","570909722765.544","614596967130.055","598789587273.971","665415371173.92","763411636190.425","744728537853.62","746649261275.272","830076468636.6","987316008401.59","1210080439500.3","1439471041382.97","1674641032780.09","2118071078804.52","1829849574764.63","2155345288815.19","2565019402570","2805384177334.91","2874275588328.11","2926204954050.54","2568631130655.53","2524102874214.64","2598475460609.57","2907329557076.05","2949355029586.25","2596422612311.05","3077906530882.01","3738584480489.16","3606002342262.32","3704768275595.84",
"United Arab Emirates","ARE","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","685986701.316701","939893599.634201","1415086929.3006","4231243615.86089","11651505689.4244","14720728248.5355","19213158778.7928","24871775164.6043","23775764224.6832","31225659620.9951","43599160050.3322","49333424135.1131","46622718605.2847","42803323345.1376","41807954235.903","40603650231.5445","33943612094.7971","36384908744.2114","36275674203.2144","41464995913.9199","50701443748.2975","51552165622.4462","54239171887.769","55625170253.337","59305093979.842","65743666575.8649","73571233996.1863","78839008444.5655","75674336283.1858","84445473110.9598","104337372362.151","103311640571.818","109816201497.617","124346358066.712","147824370319.946","180617467964.602","222116541865.214","257916133424.098","315474615738.598","253547358747.447","300189052688.904","360832739550.715","384610125391.423","400218529748.128","414105366752.893","370275469571.137","369255326235.534","390516804029.952","427049432157.931","417989721742.682","349473015330.157","415178792756.978","502731935194.01","514130432648.06","537078829135.466",
"Argentina","ARG","GDP (current US$)","NY.GDP.MKTP.CD","15865474315.4056","20132220374.9093","18337691145.3688","18272123664.4715","25605249381.7597","28344705966.6389","28630474727.9023","24256667553.2569","26436857247.4982","31256284543.6155","31584210365.5447","33293199095.4881","34733000536.2862","52544000116.9037","72436777342.4554","52438647921.9226","51169499892.1722","56781000101.0848","89049453088.3282","69252328951.6441","76961923741.0701","78676842366.5529","84307486836.724","103979106777.911","116915052107.031","88150891728.1064","105872372613.857","108810885301.253","126890235049.092","76629728760.123","141352654305.163","189719984268.485","228778917308.17","236741715015.015","257440000000","258031750000","272149750000","292859000000","298948250000","283523000000","284203750000","268696750000","97724004251.8602","127586973492.177","164657930452.787","198737095012.282","232557260817.308","287530508430.568","361558037110.419","332976484577.619","423627422092.49","530158122010.442","545982375701.128","552025140252.246","526319673731.638","594749285413.212","557532320662.955","643628393281.364","524819892360.176","447754683615.225","385740508436.965","486564085480.036","632790070063.124","646075277525.125","633266692533.689",
